model,backbone,view_weight,translation_weight,task,n_samples,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,train_r2_mean
externalval_long_checkpoint_mmpolymer_translation_only,mmpolymer,0.0,0.5,Egb,561,0.5185,0.0532,0.9280,0.0141,0.9851
externalval_long_checkpoint_mmpolymer_translation_only,mmpolymer,0.0,0.5,Eea,368,0.3061,0.0208,0.9199,0.0086,0.9741
externalval_long_checkpoint_mmpolymer_translation_only,mmpolymer,0.0,0.5,Ei,370,0.4311,0.0448,0.8064,0.0154,0.9018
externalval_long_checkpoint_mmpolymer_translation_only,mmpolymer,0.0,0.5,Xc,432,17.8659,1.1090,0.4126,0.1290,0.7688
externalval_long_checkpoint_mmpolymer_translation_only,mmpolymer,0.0,0.5,EPS,382,0.5325,0.0869,0.7653,0.0515,0.9234
externalval_long_checkpoint_mmpolymer_translation_only,mmpolymer,0.0,0.5,Nc,382,0.0997,0.0125,0.8210,0.0323,0.9376
externalval_long_checkpoint_mmpolymer_translation_only,mmpolymer,0.0,0.5,Eat,390,0.0705,0.0275,0.9602,0.0252,0.9883
externalval_long_checkpoint_mmpolymer_view_only,mmpolymer,0.1,0.0,Egc,3380,0.4346,0.0122,0.9226,0.0037,0.9891
externalval_long_checkpoint_mmpolymer_view_only,mmpolymer,0.1,0.0,Egb,561,0.5195,0.0465,0.9276,0.0137,0.9813
externalval_long_checkpoint_mmpolymer_view_only,mmpolymer,0.1,0.0,Eea,368,0.3071,0.0239,0.9196,0.0080,0.9747
externalval_long_checkpoint_mmpolymer_view_only,mmpolymer,0.1,0.0,Ei,370,0.4293,0.0358,0.8066,0.0226,0.9290
externalval_long_checkpoint_mmpolymer_view_only,mmpolymer,0.1,0.0,Xc,432,17.8277,1.0693,0.4074,0.1681,0.8348
externalval_long_checkpoint_mmpolymer_view_only,mmpolymer,0.1,0.0,EPS,382,0.5371,0.0849,0.7648,0.0309,0.8620
externalval_long_checkpoint_mmpolymer_view_only,mmpolymer,0.1,0.0,Nc,382,0.0934,0.0170,0.8440,0.0376,0.9260
externalval_long_checkpoint_mmpolymer_view_only,mmpolymer,0.1,0.0,Eat,390,0.0725,0.0312,0.9570,0.0310,0.9930
externalval_long_checkpoint_transpolymer_both,transpolymer,0.1,0.5,Egc,3380,0.4386,0.0158,0.9211,0.0052,0.9899
externalval_long_checkpoint_transpolymer_both,transpolymer,0.1,0.5,Egb,561,0.5254,0.0361,0.9256,0.0148,0.9870
externalval_long_checkpoint_transpolymer_both,transpolymer,0.1,0.5,Eea,368,0.3154,0.0261,0.9148,0.0123,0.9769
externalval_long_checkpoint_transpolymer_both,transpolymer,0.1,0.5,Ei,370,0.4262,0.0444,0.8097,0.0247,0.9338
externalval_long_checkpoint_transpolymer_both,transpolymer,0.1,0.5,Xc,432,17.3524,1.5383,0.4390,0.1518,0.7343
externalval_long_checkpoint_transpolymer_both,transpolymer,0.1,0.5,EPS,382,0.5496,0.1050,0.7503,0.0624,0.8830
externalval_long_checkpoint_transpolymer_both,transpolymer,0.1,0.5,Nc,382,0.0958,0.0141,0.8303,0.0465,0.9112
externalval_long_checkpoint_transpolymer_both,transpolymer,0.1,0.5,Eat,390,0.0803,0.0304,0.9485,0.0312,0.9910
externalval_long_checkpoint_transpolymer_original,transpolymer,0.0,0.0,Egc,3380,0.4477,0.0172,0.9178,0.0060,0.9863
externalval_long_checkpoint_transpolymer_original,transpolymer,0.0,0.0,Egb,561,0.5331,0.0528,0.9242,0.0130,0.9775
externalval_long_checkpoint_transpolymer_original,transpolymer,0.0,0.0,Eea,368,0.3210,0.0180,0.9117,0.0101,0.9678
externalval_long_checkpoint_transpolymer_original,transpolymer,0.0,0.0,Ei,370,0.4324,0.0422,0.8034,0.0276,0.9257
externalval_long_checkpoint_transpolymer_original,transpolymer,0.0,0.0,Xc,432,17.8159,1.4671,0.4127,0.1428,0.7262
